Homo sapiens
Macaca mulatta
Mus musculus
Rattus norvegicus
Ailuropoda melanoleuca
Aotus nancymaae
Bos taurus
Callithrix jacchus
Camelus dromedarius
Canis lupus familiaris
Capra hircus
Cavia porcellus
Ceratotherium simum simum
Cercocebus atys
Chinchilla lanigera
Chlorocebus sabaeus
Chrysochloris asiatica
Condylura cristata
Cricetulus griseus
Dasypus novemcinctus
Dipodomys ordii
Echinops telfairi
Elephantulus edwardii
Eptesicus fuscus
Equus caballus
Erinaceus europaeus
Felis catus
Galeopterus variegatus
Gorilla gorilla gorilla
Heterocephalus glaber
Ictidomys tridecemlineatus
Jaculus jaculus
Loxodonta africana
Macaca fascicularis
Macaca nemestrina
Mandrillus leucophaeus
Manis javanica
Mesocricetus auratus
Microcebus murinus
Microtus ochrogaster
Miniopterus natalensis
Monodelphis domestica
Mustela putorius furo
Nannospalax galili
Nomascus leucogenys
Ochotona princeps
Octodon degus
Odobenus rosmarus divergens
Orcinus orca
Oryctolagus cuniculus
Otolemur garnettii
Ovis aries
Pan paniscus
Pan troglodytes
Papio anubis
Pongo abelii
Propithecus coquereli
Pteropus vampyrus
Rhinopithecus roxellana
Rousettus aegyptiacus
Saimiri boliviensis boliviensis
Sorex araneus
Sus scrofa
Trichechus manatus latirostris
Tupaia chinensis
Tursiops truncatus
