Tier,Gene
1,ADRA1A
1,ADRA1B
1,ADRA1D
1,ADRA2A
1,ADRA2B
1,CHRM1
1,CHRM2
1,CHRM3
1,CHRM5
1,CNR1
1,CNR2
1,DRD2
1,DRD3
1,GABBR2
1,HTR1A
1,HTR1D
1,HTR1F
1,HTR2A
1,HTR2B
1,HTR4
1,HTR5A
1,HTR7
1,OPRK1
1,OPRM1
2,ACKR3
2,ADORA1
2,ADORA2A
2,ADORA2B
2,AVPR1B
2,CRHR1
2,CRHR2
2,FSHR
2,GRM3
2,GRM5
2,GRM8
2,HCRTR2
2,HRH1
2,HRH2
2,NPY1R
2,NPY2R
3,CCKAR
3,CCKBR
3,CCR10
3,CCR2
3,CCR3
3,CCR4
3,CCR5
3,CCR7
3,CXCR2
3,CXCR3
3,CXCR4
3,XCR1
0,ADCYAP1R1
0,ADGRA2
0,ADGRA3
0,ADGRB2
0,ADGRE5
0,ADGRF5
0,ADGRG1
0,ADGRG2
0,ADGRG6
0,ADGRL1
0,ADGRL2
0,ADGRL3
0,ADGRL4
0,ADGRV1
0,AGTR1
0,BDKRB2
0,CALCR
0,CALCRL
0,CASR
0,CELSR1
0,CELSR2
0,CELSR3
0,CMKLR1
0,DRD1
0,EDNRA
0,EDNRB
0,F2R
0,F2RL1
0,FFAR2
0,FFAR4
0,FZD3
0,FZD4
0,FZD5
0,FZD6
0,FZD7
0,GHSR
0,GIPR
0,GLP1R
0,GLP2R
0,GNRHR
0,GPBAR1
0,GPR1
0,GPR119
0,GPR12
0,GPR139
0,GPR141
0,GPR151
0,GPR153
0,GPR158
0,GPR161
0,GPR162
0,GPR173
0,GPR176
0,GPR179
0,GPR182
0,GPR19
0,GPR21
0,GPR22
0,GPR3
0,GPR37
0,GPR37L1
0,GPR39
0,GPR4
0,GPR45
0,GPR50
0,GPR52
0,GPR55
0,GPR6
0,GPR61
0,GPR63
0,GPR68
0,GPR82
0,GPR85
0,GPRC5A
0,GPRC5B
0,GPRC5C
0,GPRC5D
0,GRPR
0,HCAR1
0,HCAR2
0,LGR4
0,LGR5
0,LGR6
0,LHCGR
0,LPAR1
0,LPAR2
0,LPAR6
0,OPN5
0,OPRD1
0,OR51E1
0,P2RY1
0,P2RY2
0,PTAFR
0,PTGDR2
0,PTGER2
0,PTGER4
0,PTGIR
0,PTH1R
0,S1PR1
0,S1PR2
0,SCTR
0,SMO
0,SSTR1
0,SSTR2
0,SSTR3
0,TRHR
0,TSHR
0,VIPR1
