ADRA1A,NM_000680
ADRA1B,NM_000679
ADRA1D,NM_000678
ADRA2A,NM_000681
ADRA2B,NM_000682
ADRA2C,NM_000683
CHRM1,NM_000738
CHRM2,NM_000739
CHRM3,NM_000740
CHRM4,NM_000741
CHRM5,NM_012125
CNR1,NM_016083
CNR2,NM_001841
DRD2,NM_000795
DRD3,NM_000796
DRD4,NM_000797
DRD5,NM_000798
GABBR1,NM_001470
GABBR2,NM_005458
HTR1A,NM_000524
HTR1B,NM_000863
HTR1D,NM_000864
HTR1E,NM_000865
HTR1F,NM_000866
HTR2A,NM_000621
HTR2B,NM_000867
HTR2C,NM_000868
HTR4,NM_000870
HTR5A,NM_024012
HTR6,NM_000871
HTR7,NM_000872
OPRK1,NM_000912
OPRL1,NM_000913
OPRM1,NM_000914
ACKR1,NM_001122951
ACKR2,NM_001296
ACKR3,NM_020311
ACKR4,nm_178445
ADORA1,NM_000674
ADORA2A,NM_000675
ADORA2B,NM_000676
ADORA3,NM_000677
ADRB1,NM_000684
ADRB2,NM_000024
ADRB3,NM_000025
APLNR,NM_005161
AVPR1A,NM_000706
AVPR1B,NM_000707
AVPR2,NM_000054
CRHR1,nm_004382
CRHR2,NM_001883
FSHR,NM_000145
GRM2,NM_000839
GRM3,NM_000840
GRM4,NM_000841
GRM5,NM_000842
GRM6,NM_000843
GRM7,NM_000844
GRM8,NM_000845
HCRTR1,NM_001525
HCRTR2,NM_001526
HRH1,NM_000861
HRH2,NM_022304
HRH3,NM_007232
HRH4,NM_021624
MC1R,nm_002386
MC2R,NM_000529
MC3R,NM_019888
MC4R,NM_005912
MC5R,NM_005913
MCHR1,NM_005297
MCHR2,NM_032503
NPY1R,NM_000909
NPY2R,NM_000910
NPY4R,nm_005972
NPY5R,NM_006174
OXER1,NM_148962
OXGR1,NM_080818
OXTR,NM_000916
TACR1,nm_001058
TACR2,NM_001057
TACR3,nm_001059
C3AR1,NM_004054
C5AR1,NM_001736
C5AR2,nm_018485
CCKAR,NM_000730
CCKBR,NM_176875
CCR1,NM_001295
CCR10,NM_016602
CCR2,NM_001123396
CCR3,NM_001837
CCR4,NM_005508
CCR5,NM_000579
CCR6,NM_004367
CCR7,NM_001838
CCR8,NM_005201
CCR9,NM_006641
CCRL2,NM_003965
CX3CR1,NM_001337
CXCR2,NM_001557
CXCR3,NM_001504
CXCR4,NM_003467
CXCR5.1,nm_001716
CXCR6,NM_006564
XCR1,NM_005283
ADCYAP1R1,NM_001118
ADGRA1,nm_001083909
ADGRA2,nm_032777
ADGRA3,nm_145290
ADGRB1,nm_001702
ADGRB2,NM_001294335
ADGRB3,nm_001704
ADGRD1,nm_198827
ADGRE1,nm_001974
ADGRE2,nm_013447
ADGRE3,NM_032571
ADGRE5,nm_078481
ADGRF1,nm_153840
ADGRF3,nm_153835
ADGRF4,nm_153838
ADGRF5,nm_015234
ADGRG1,nm_005682
ADGRG2,nm_001079858
ADGRG3,nm_170776
ADGRG4,nm_153834
ADGRG5,nm_153837
ADGRG6,nm_020455
ADGRG7,nm_032787
ADGRL1,nm_001008701
ADGRL2,NM_012302
ADGRL3,nm_015236
ADGRL4,NM_022159
ADGRV1,nm_032119
AGTR1,nm_000685
AGTR2,NM_000686
BDKRB1,NM_000710
BDKRB2,NM_000623
BRS3,NM_001727
CALCR,NM_001742
CALCRL,NM_005795
CASR,NM_000388
CELSR1,NM_014246
CELSR2,NM_001408
CELSR3,NM_001407
CMKLR1,NM_004072
CYSLTR1,NM_006639
CYSLTR2,NM_020377
DRD1,NM_000794
EDNRA,NM_001957
EDNRB,NM_000115
F2R,NM_001992
F2RL1,NM_005242
F2RL2,NM_004101
F2RL3,NM_003950
FFAR1,NM_005303
FFAR2,NM_005306
FFAR3,NM_005304
FFAR4,nm_181745
FPR2,NM_001462
FZD1,NM_003505
FZD10,NM_007197
FZD2,NM_001466
FZD3,NM_017412
FZD4,NM_012193
FZD5,NM_003468
FZD6,NM_003506
FZD7,NM_003507
FZD8,NM_031866
FZD9,NM_003508
GALR1,NM_001480
GALR2,NM_003857
GALR3,NM_003614
GCGR,NM_000160
GHRHR,NM_000823
GHSR,NM_198407
GIPR,NM_000164
GLP1R,NM_002062
GLP2R,NM_004246
GNRHR,NM_000406
GPBAR1,NM_170699
GPER1,NM_001505
GPR1,NM_005279
GPR101,NM_054021
GPR107,NM_020960
GPR119,NM_178471
GPR12,NM_005288
GPR132,NM_013345
GPR135,NM_022571
GPR137,NM_020155
GPR139,NM_001002911
GPR141,XM_011515388
GPR142,nm_181790
GPR143,NM_000273
GPR144,xm_006717348
GPR146,NM_138445
GPR148,NM_207364
GPR149,NM_001038705
