Organism,Taxonomy ID
Homo sapiens,9606
Macaca mulatta,9544
Ailuropoda melanoleuca,9646
Aotus nancymaae,37293
Bos taurus,9913
Callithrix jacchus,9483
Camelus dromedarius,9838
Canis lupus,9612
Canis lupus familiaris,9615
Capra hircus,9925
Carlito syrichta,1868482
Cavia porcellus,10141
Cebus capucinus,9516
Ceratotherium simum simum,73337
Cercocebus atys,9531
Chinchilla lanigera,34839
Chlorocebus sabaeus,60711
Chrysochloris asiatica,185453
Colobus angolensis,54131
Condylura cristata,143302
Cricetulus griseus,10029
Dasypus novemcinctus,9361
Dipodomys ordii,10020
Echinops telfairi,9371
Elephantulus edwardii,28737
Eptesicus fuscus,29078
Equus caballus,9796
Erinaceus europaeus,9365
Felis catus,9685
Galeopterus variegatus,482537
Gorilla gorilla gorilla,9595
Heterocephalus glaber,10181
Ictidomys tridecemlineatus,43179
Jaculus jaculus,51337
Loxodonta africana,9785
Macaca fascicularis,9541
Macaca nemestrina,9545
Mandrillus leucophaeus,9568
Manis javanica,9974
Mesocricetus auratus,10036
Microcebus murinus,30608
Microtus ochrogaster,79684
Miniopterus natalensis,291302
Monodelphis domestica,13616
Mus musculus,10090
Mustela putorius furo,9669
Nannospalax galili,1026970
Nomascus leucogenys,61853
Ochotona princeps,9978
Octodon degus,10160
Odobenus rosmarus divergens,9708
Orcinus orca,9733
Ornithorhynchus anatinus,9258
Orycteropus afer,9818
Oryctolagus cuniculus,9986
Otolemur garnettii,30611
Ovis aries,9940
Pan paniscus,9597
Pan troglodytes,9598
Panthera tigris,9694
Papio anubis,9555
Pongo abelii,9601
Propithecus coquereli,379532
Pteropus vampyrus,132908
Rattus norvegicus,10116
Rhinopithecus roxellana,61622
Rousettus aegyptiacus,9407
Saimiri boliviensis boliviensis,39432
Sarcophilus harrisii,9305
Sorex araneus,42254
Sus scrofa,9823
Trichechus manatus latirostris,127582
Tupaia chinensis,246437
Tursiops truncatus,9739
