RefSeqRNA Accession,Entrez ID,Gene Name,Gene Summary,NCBI Link
NM_000663,18,4-aminobutyrate aminotransferase,"4-aminobutyrate aminotransferase (ABAT) is responsible for catabolism of gamma-aminobutyric acid (GABA), an important, mostly inhibitory neurotransmitter in the central nervous system, into succinic semialdehyde. The active enzyme is a homodimer of 50-kD subunits complexed to pyridoxal-5-phosphate. The protein sequence is over 95% similar to the pig protein. GABA is estimated to be present in nearly one-third of human synapses. ABAT in liver and brain is controlled by 2 codominant alleles with a frequency in a Caucasian population of 0.56 and 0.44. The ABAT deficiency phenotype includes psychomotor retardation, hypotonia, hyperreflexia, lethargy, refractory seizures, and EEG abnormalities. Multiple alternatively spliced transcript variants encoding the same protein isoform have been found for this gene.","<a href=""https://www.ncbi.nlm.nih.gov/gene/18"">https://www.ncbi.nlm.nih.gov/gene/18</a>"
NM_001103,88,actinin alpha 2,"Alpha actinins belong to the spectrin gene superfamily which represents a diverse group of cytoskeletal proteins, including the alpha and beta spectrins and dystrophins. Alpha actinin is an actin-binding protein with multiple roles in different cell types. In nonmuscle cells, the cytoskeletal isoform is found along microfilament bundles and adherens-type junctions, where it is involved in binding actin to the membrane. In contrast, skeletal, cardiac, and smooth muscle isoforms are localized to the Z-disc and analogous dense bodies, where they help anchor the myofibrillar actin filaments. This gene encodes a muscle-specific, alpha actinin isoform that is expressed in both skeletal and cardiac muscles. Several transcript variants encoding different isoforms have been found for this gene.","<a href=""https://www.ncbi.nlm.nih.gov/gene/88"">https://www.ncbi.nlm.nih.gov/gene/88</a>"
NM_015270,112,adenylate cyclase 6,"This gene encodes a member of the adenylyl cyclase family of proteins, which are required for the synthesis of cyclic AMP. All members of this family have an intracellular N-terminus, a tandem repeat of six transmembrane domains separated by a cytoplasmic loop, and a C-terminal cytoplasmic domain. The two cytoplasmic regions bind ATP and form the catalytic core of the protein. Adenylyl cyclases are important effectors of transmembrane signaling pathways and are regulated by the activity of G protein coupled receptor signaling. This protein belongs to a small subclass of adenylyl cyclase proteins that are functionally related and are inhibited by protein kinase A, calcium ions and nitric oxide. A mutation in this gene is associated with arthrogryposis multiplex congenita.","<a href=""https://www.ncbi.nlm.nih.gov/gene/112"">https://www.ncbi.nlm.nih.gov/gene/112</a>"
NM_001115,114,adenylate cyclase 8,"Adenylate cyclase is a membrane bound enzyme that catalyses the formation of cyclic AMP from ATP. The enzymatic activity is under the control of several hormones, and different polypeptides participate in the transduction of the signal from the receptor to the catalytic moiety. Stimulatory or inhibitory receptors (Rs and Ri) interact with G proteins (Gs and Gi) that exhibit GTPase activity and they modulate the activity of the catalytic subunit of the adenylyl cyclase","<a href=""https://www.ncbi.nlm.nih.gov/gene/114"">https://www.ncbi.nlm.nih.gov/gene/114</a>"
NM_001166693,4299,AF4/FMR2 family member 1,"This gene encodes a member of the AF4/ lymphoid nuclear protein related to AF4/Fragile X E mental retardation syndrome family of proteins, which have been implicated in childhood lymphoblastic leukemia, Fragile X E site mental retardation, and ataxia. It is the prevalent mixed-lineage leukemia fusion gene associated with spontaneous acute lymphoblastic leukemia. Members of this family have three conserved domains: an N-terminal homology domain, an AF4/ lymphoid nuclear protein related to AF4/Fragile X E mental retardation syndrome domain, and a C-terminal homology domain. The protein functions as a regulator of RNA polymerase II-mediated transcription through elongation and chromatin remodeling functions. Through RNA interference screens, this gene has been shown to promote the expression of CD133, a plasma membrane glycoprotein required for leukemia cell survival. Alternative splicing results in multiple transcript variants.","<a href=""https://www.ncbi.nlm.nih.gov/gene/4299"">https://www.ncbi.nlm.nih.gov/gene/4299</a>"
NM_001346142,231,aldo-keto reductase family 1 member B,"This gene encodes a member of the aldo/keto reductase superfamily, which consists of more than 40 known enzymes and proteins. This member catalyzes the reduction of a number of aldehydes, including the aldehyde form of glucose, and is thereby implicated in the development of diabetic complications by catalyzing the reduction of glucose to sorbitol. Multiple pseudogenes have been identified for this gene. The nomenclature system used by the HUGO Gene Nomenclature Committee to define human aldo-keto reductase family members is known to differ from that used by the Mouse Genome Informatics database.","<a href=""https://www.ncbi.nlm.nih.gov/gene/231"">https://www.ncbi.nlm.nih.gov/gene/231</a>"
NM_000477,213,albumin,"This gene encodes the most abundant protein in human blood. This protein functions in the regulation of blood plasma colloid osmotic pressure and acts as a carrier protein for a wide range of endogenous molecules including hormones, fatty acids, and metabolites, as well as exogenous drugs. Additionally, this protein exhibits an esterase-like activity with broad substrate specificity. The encoded preproprotein is proteolytically processed to generate the mature protein. A peptide derived from this protein, EPI-X4, is an endogenous inhibitor of the CXCR4 chemokine receptor.","<a href=""https://www.ncbi.nlm.nih.gov/gene/213"">https://www.ncbi.nlm.nih.gov/gene/213</a>"
NM_005165,230,"aldolase, fructose-bisphosphate C","This gene encodes a member of the class I fructose-biphosphate aldolase gene family. Expressed specifically in the hippocampus and Purkinje cells of the brain, the encoded protein is a glycolytic enzyme that catalyzes the reversible aldol cleavage of fructose-1,6-biphosphate and fructose 1-phosphate to dihydroxyacetone phosphate and either glyceraldehyde-3-phosphate or glyceraldehyde, respectively.","<a href=""https://www.ncbi.nlm.nih.gov/gene/230"">https://www.ncbi.nlm.nih.gov/gene/230</a>"
NM_001139,242,"arachidonate 12-lipoxygenase, 12R type",This gene encodes an enzyme involved in the conversion of arachidonic acid to 12R-hydroxyeicosatetraenoic acid. Mutations in this gene are associated with nonbullous congenital ichthyosiform erythroderma.,"<a href=""https://www.ncbi.nlm.nih.gov/gene/242"">https://www.ncbi.nlm.nih.gov/gene/242</a>"
NM_001647,347,apolipoprotein D,"This gene encodes a component of high density lipoprotein that has no marked similarity to other apolipoprotein sequences. It has a high degree of homology to plasma retinol-binding protein and other members of the alpha 2 microglobulin protein superfamily of carrier proteins, also known as lipocalins. This glycoprotein is closely associated with the enzyme lecithin:cholesterol acyltransferase - an enzyme involved in lipoprotein metabolism.","<a href=""https://www.ncbi.nlm.nih.gov/gene/347"">https://www.ncbi.nlm.nih.gov/gene/347</a>"
