,Homo_sapiens,Macaca_mulatta,Ailuropoda_melanoleuca,Aotus_nancymaae,Bos_taurus,Callithrix_jacchus,Camelus_dromedarius,Canis_lupus_familiaris,Capra_hircus,Carlito_syrichta,Cavia_porcellus,Ceratotherium_simum_simum,Cercocebus_atys,Chinchilla_lanigera,Chlorocebus_sabaeus,Chrysochloris_asiatica,Condylura_cristata,Cricetulus_griseus,Dasypus_novemcinctus,Dipodomys_ordii,Echinops_telfairi,Elephantulus_edwardii,Eptesicus_fuscus,Equus_caballus,Erinaceus_europaeus,Felis_catus,Galeopterus_variegatus,Gorilla_gorilla_gorilla,Heterocephalus_glaber,Ictidomys_tridecemlineatus,Jaculus_jaculus,Loxodonta_africana,Macaca_fascicularis,Macaca_nemestrina,Mandrillus_leucophaeus,Manis_javanica,Mesocricetus_auratus,Microcebus_murinus,Microtus_ochrogaster,Miniopterus_natalensis,Monodelphis_domestica,Mus_musculus,Mustela_putorius_furo,Nannospalax_galili,Nomascus_leucogenys,Ochotona_princeps,Octodon_degus,Odobenus_rosmarus_divergens,Orcinus_orca,Oryctolagus_cuniculus,Otolemur_garnettii,Ovis_aries,Pan_paniscus,Pan_troglodytes,Papio_anubis,Pongo_abelii,Propithecus_coquereli,Pteropus_vampyrus,Rattus_norvegicus,Rhinopithecus_roxellana,Rousettus_aegyptiacus,Saimiri_boliviensis_boliviensis,Sarcophilus_harrisii,Sorex_araneus,Sus_scrofa,Trichechus_manatus_latirostris,Tupaia_chinensis,Tursiops_truncatus
ADRA1A,NM_000680.3,XM_015145001.1,XM_011218680.1,XM_012435157.1,NM_174498.2,XM_008979083.2,XM_010995622.1,XM_005635607.2,XM_018052356.1,XM_008061078.1,NM_001172912.1,xm_004433557.2,XM_012045680.1,XM_013514140.1,XM_007961979.1,xm_006864364.1,XM_004685374.1,XM_003505161.1,xm_004460818.2,XM_013034427.1,XM_004707617.1,xm_006884857.1,XM_008151449.1,XM_001494586.5,XM_007535036.2,XM_011281429.1,XM_008565544.1,XM_004046813.1,XM_004848377.1,XM_005339882.2,XM_004665835.1,XM_003412463.2,XM_015454603.1,XM_011741880.1,XM_011983857.1,XM_017654415.1,XM_005075238.2,XM_012775351.1,XM_005355482.2,XM_016203462.1,XM_007477809.1,XM_011244924.2,XM_004775085.2,XM_008830974.2,XM_012508355.1,XM_004579078.1,XM_004630683.1,XM_004412992.1,XM_004270686.1,NM_001082380.1,XM_003793950.2,XM_004004166.2,XM_008977197.2,XM_009455065.2,XM_003902573.3,XM_009243644.1,XM_012663027.1,XM_011360301.1,XM_008770744.2,XM_010378131.1,XM_016154297.1,XM_010347764.1,XM_003758700.1,XM_004619135.1,XM_005657244.2,xm_004382172.1,XM_006153237.2,xm_004316653.1
ADRA1B,NM_000679.3,XM_001083528.3,XM_002912525.2,XM_012461054.1,NM_001191139.1,XM_017967235.1,XM_010992810.1,NM_001197035.2,XM_013965499.2,XM_008057637.1,XM_013156240.1,xm_004428576.2,XM_012050872.1,XM_013506606.1,XM_008015187.1,XM_006864921.1,XM_004689823.1,XM_007615394.1,XM_004467224.2,XM_013028631.1,XM_013004900.1,XM_006897035.1,XM_008147660.1,XM_005614854.2,XM_007528645.2,XM_003981353.3,XM_008587200.1,XM_004042922.1,XM_004836469.1,XM_005325428.2,XM_012948522.1,XM_003404870.2,XM_005558419.2,XM_011742371.1,XM_011966719.1,XM_017671063.1,NM_001281694.1,XM_012786357.1,XM_013354120.1,XM_016213983.1,XM_016428326.1,XM_011248675.2,XM_004737708.2,XM_008821659.2,XM_012504556.1,XM_004587478.2,XM_004629399.1,XM_004404781.1,XM_004285246.1,XM_017340976.1,XM_003781991.2,XM_015096166.1,XM_014345136.1,XM_016954141.1,XM_003900455.3,XM_009241239.1,XM_012644801.1,XM_011356722.1,NM_016991.2,XM_010369932.1,XM_016167056.1,XM_010345373.1,XM_003756780.1,XM_012933417.1,XM_013984885.1,xm_004371247.1,XM_006165110.2,xm_004322825.1
ADRA1D,NM_000678.3,XM_002798210.2,XM_011231830.1,XM_012455391.1,NM_001205684.1,XM_002747323.3,XM_010988293.1,XM_003433195.3,XM_005688233.3,XM_008050448.1,XM_013159601.1,xm_004433871.2,XM_012052161.1,XM_013512129.1,XM_008019764.1,XM_006870414.1,XM_004687010.1,XM_007637304.1,XM_004465244.1,XM_013010817.1,XM_004698168.1,XM_006894221.1,XM_008141276.1,XM_005614858.1,XM_007539555.2,XM_011280935.1,XM_008589494.1,XM_004061770.1,XM_004840767.2,XM_005320615.2,XM_004661489.1,XM_010591812.1,XM_005568416.2,XM_011741225.1,XM_011975512.1,XM_017663881.1,XM_005068659.2,XM_012755247.1,XM_005365569.2,XM_016211939.1,XM_001380223.3,NM_013460.4,XM_004772937.2,XM_008835892.1,xm_012504170.1,XM_004593320.1,XM_004634273.1,XM_004398199.1,XM_004285282.1,NM_001082678.1,XM_003788037.2,XM_004014355.2,XM_008974833.1,XM_016937394.1,XM_003905031.3,XM_002830063.3,XM_012639288.1,XM_011371074.1,NM_024483.1,XM_010378947.1,XM_016135998.1,XM_010351844.1,XM_012540532.1,XM_004610987.1,NM_001123073.1,xm_004383076.2,XM_014582287.1,xm_004321544.1
ADRA2A,NM_000681.3,XM_015148184.1,XM_011232098.1,XM_012450210.1,XM_015460731.1,XM_009010277.2,XM_010983258.1,XM_005637878.1,XM_018041717.1,XM_008054949.1,NM_001172846.1,xm_004428080.2,XM_012042893.1,XM_013504020.1,XM_007964092.1,XM_006831339.1,XM_004680997.2,XM_007638228.2,XM_012530906.1,XM_013017604.1,XM_004701283.1,XM_006879938.1,XM_008144412.1,XM_014732996.1,XM_007530911.2,NM_001039955.1,XM_008569195.1,XM_004050102.1,XM_004838943.1,XM_013356507.1,XM_004659344.1,XM_010588992.1,XM_005566421.2,XM_011715799.1,XM_011967569.1,XM_017671591.1,XM_013118016.1,XM_012771361.1,XM_013348113.1,XM_016212099.1,XM_007479023.1,NM_007417.4,XM_013062065.1,XM_008846137.2,XM_004092893.2,XM_004579847.1,XM_004631531.2,XM_004411589.2,XM_004265845.1,NM_001082693.1,XM_003787168.2,XM_015103417.1,XM_003825702.2,XM_003312765.3,XM_003919460.3,XM_002821145.3,XM_012663886.1,XM_011363810.1,NM_012739.3,XM_010370334.1,XM_016145729.1,XM_010333357.1,XM_003755383.1,XM_004611971.1,NM_214400.1,xm_004374847.1,XM_014589942.1,xm_004321271.1
ADRA2B,NM_000682.6,XM_015112856.1,XM_011233892.1,XM_012444793.1,NM_001206628.1,XM_003734674.3,XM_010984623.1,XM_005642442.2,XM_013967412.2,XM_008059050.1,XM_003471528.2,xm_014791631.1,XM_012055761.1,XM_005400652.2,XM_008007961.1,XM_006873521.1,XM_004686125.2,XM_007639846.2,XM_004474616.2,XM_013019863.1,XM_004704472.1,XM_006900689.1,XM_008160582.1,NM_001164012.1,XM_016191204.1,XM_006930331.1,XM_008589605.1,XM_004031413.1,XM_004844350.1,XM_005339575.2,XM_004651744.2,XM_003422015.1,XM_005595601.2,XM_011755244.1,XM_011969655.1,XM_017659781.1,XM_005068583.2,XM_012786889.1,XM_005364434.1,XM_016209647.1,XM_007476536.2,NM_009633.3,XM_004770934.2,XM_008838185.1,XM_012502576.1,XM_004590759.1,XM_004633157.2,XM_004399838.2,XM_004277792.1,XM_008253857.2,XM_003803960.2,XM_012173853.2,XM_003805724.2,XM_016948969.1,XM_009184649.1,XM_002811646.3,XM_012641907.1,XM_011382010.1,NM_138505.2,XM_010362070.1,XM_016142920.1,XM_010352015.1,xm_003773416.1,XM_004609236.1,NM_001037148.1,xm_004369348.1,XM_006166549.1,XM_004311473.1
ADRA2C,NM_000683.3,XM_015137909.1,XM_011221478.1,XM_012435075.1,XM_010806318.2,XM_017970670.1,XM_010996916.1,XM_545911.4,XM_013964836.2,xm_008059050.1,XM_005008451.2,xm_004432337.2,XM_012059358.1,xm_013504020.1,XM_008018030.1,XM_006875324.1,XM_012724059.1,XM_007625847.1,XM_004450951.1,XM_013023886.1,xm_004701283.1,xm_006879938.1,XM_008150958.1,xm_014732996.1,XM_007536792.1,XM_011281994.1,XM_008572498.1,XM_004038360.1,XM_004847357.1,xm_013356507.1,xm_004659344.1,XM_010591450.1,XM_015449990.1,XM_011744936.1,XM_012002194.1,xm_017660934.1,XM_005068857.2,XM_012744798.1,XM_005365920.2,XM_016195872.1,XM_001373089.4,NM_007418.3,xm_013062065.1,XM_008841877.1,XM_003279005.2,xm_004579847.1,XM_004624679.1,XM_004396193.2,XM_004265160.2,nm_001082693.1,XM_012810965.1,XM_015096306.1,XM_008959182.1,XM_009447287.2,XM_003890859.3,XM_003780406.2,XM_012655036.1,XM_011373809.1,NM_138506.1,XM_010384409.1,XM_016124238.1,XM_003934639.1,XM_003773416.1,xm_004611971.1,XM_005666516.2,xm_004383556.1,XM_006152962.1,xm_004321272.1
CHRM1,NM_000738.2,XM_015113701.1,XM_011232513.1,XM_012454458.1,NM_001244609.1,XM_002755444.2,XM_010983031.1,XM_540897.4,XM_018043586.1,XM_008053588.1,XM_013150513.1,xm_004437505.2,XM_012042012.1,XM_013510063.1,XM_007995063.1,XM_006875030.1,XM_004682699.2,XM_007654364.2,XM_004449256.2,XM_013029124.1,XM_013007431.1,XM_006903105.1,XM_008160723.1,XM_005598256.2,XM_007526363.2,XM_006937437.2,XM_008573511.1,XM_004051387.1,XM_004874417.2,XM_005331468.1,XM_004656571.1,XM_010599102.1,XM_005577525.2,XM_011720509.1,XM_011993414.1,XM_017660236.1,XM_005063879.2,XM_012778185.1,XM_005351892.2,XM_016216351.1,XM_016423592.1,NM_007698.3,XM_004770253.2,XM_008837488.2,XM_003274112.3,XM_004596754.1,XM_004646702.1,XM_004413790.1,XM_004264240.1,XM_002720993.3,XM_003798702.2,XM_012102058.2,XM_003828513.3,XM_001159983.5,XM_003909668.3,NM_001132522.1,XM_012665409.1,XM_011368681.1,XM_006230974.3,XM_010376533.1,XM_016127936.1,XM_003920483.2,XM_003774067.2,XM_004621522.1,NM_214034.1,xm_004383824.1,XM_006156552.2,XM_004318479.1
CHRM2,NM_000739.2,XM_015134983.1,XM_002914202.2,XM_012465715.1,XM_005205852.3,XM_009003001.2,XM_010983163.1,XM_005629578.2,XM_005679508.3,XM_008054861.1,XM_013159001.1,xm_014787721.1,XM_012068236.1,XM_005405469.2,XM_007983041.1,XM_006861160.1,XM_012721055.1,XM_003500969.1,XM_004461665.2,XM_013021655.1,XM_004707831.1,XM_006887150.1,XM_008150496.1,XM_005615016.2,XM_007531504.2,XM_003983092.2,XM_008590741.1,XM_004046281.1,XM_004851236.1,XM_005332409.2,XM_004661184.1,XM_003420223.1,XM_005550872.2,XM_011723764.1,XM_011995490.1,XM_017651343.1,XM_005082403.2,XM_012744732.1,XM_005365826.2,XM_016222420.1,XM_007504385.1,XM_006506136.2,XM_013050083.1,XM_008823472.2,XM_012512137.1,XM_004594382.1,XM_004629053.1,XM_004406353.1,XM_004272164.1,XM_008258041.2,XM_003791593.2,XM_015095399.1,XM_014345796.1,XM_001147469.4,XM_017957191.1,XM_009243263.1,XM_012642765.1,XM_011359505.1,NM_031016.1,XM_010371749.1,XM_016122881.1,XM_010340360.1,XM_003771646.1,XM_004608236.1,NM_214261.1,xm_004382399.1,XM_006145018.1,xm_004316429.1
CHRM3,NM_000740.2,XM_015126492.1,XM_002914393.2,XM_012443749.1,NM_174270.2,XM_017966718.1,XM_010979933.1,XM_005618771.2,XM_018042600.1,XM_008068801.1,XM_005005219.2,xm_004432404.2,XM_012036251.1,XM_013504734.1,XM_007989919.1,xm_006868560.1,XM_004691027.2,XM_003509406.3,XM_012530868.1,XM_013009284.1,XM_004709822.1,xm_006901557.1,XM_008149880.1,XM_005602607.2,XM_007528793.2,XM_011287200.1,XM_008567992.1,XM_004028657.1,XM_004854597.2,XM_005320345.1,XM_004662194.1,XM_003410912.2,XM_015436352.1,XM_011729448.1,XM_011995028.1,XM_017656921.1,XM_013114701.1,XM_012738305.1,XM_005365415.2,XM_016219795.1,XM_007481572.2,XM_006516468.3,XM_004774782.2,XM_008841328.2,XM_004088016.2,XM_004578512.2,XM_004641283.1,XM_004413000.2,XM_012538253.1,XM_017347714.1,XM_003800083.2,XM_015104361.1,XM_014343347.1,XM_009441687.2,XM_017953451.1,NM_001132433.1,XM_012660182.1,XM_011387225.1,XM_017600451.1,XM_010384685.1,XM_016129574.1,XM_010345878.1,XM_003767793.1,XM_004619364.1,NM_001123098.1,xm_004375848.2,XM_006145949.2,xm_004326787.1
CHRM4,NM_000741.3,NM_001194555.2,XM_011227929.1,XM_012452477.1,NM_001103243.1,XM_002755158.4,XM_011000636.1,XM_005631293.2,XM_005690149.3,XM_008051309.1,XM_005001576.2,xm_004436912.2,XM_012075210.1,XM_005384029.2,XM_008000215.1,XM_006865056.1,XM_004682865.2,XM_007630880.2,XM_004457906.1,XM_013029994.1,XM_004708332.1,XM_006896728.1,XM_008146765.1,XM_005615012.2,XM_007519081.2,XM_003993210.2,XM_008570489.1,XM_004051014.1,XM_004851921.2,XM_005330008.2,XM_004657204.2,XM_003412258.2,XM_005578050.2,XM_011724265.1,XM_012001380.1,XM_017675728.1,XM_005064914.2,XM_012790014.1,XM_005364155.2,XM_016203976.1,XM_007497382.2,XM_011239271.2,XM_004763139.2,XM_008851576.2,xm_003274112.3,XM_004585361.1,XM_004626991.1,XM_004399558.2,XM_004264058.2,NM_001198936.1,XM_003781275.2,XM_015101145.1,XM_003815213.2,XM_016920771.1,XM_003909970.2,XM_002821824.2,XM_012645187.1,XM_011356914.1,XM_008762022.2,XM_010371065.1,XM_016146754.1,XM_003920036.2,XM_003773715.1,XM_004619062.2,XM_003122828.4,xm_004387664.2,XM_006157777.2,XM_004323485.1
