Tier,Gene,Homo_sapiens,Macaca_mulatta,Mus_musculus,Rattus_norvegicus,Ailuropoda_melanoleuca,Aotus_nancymaae,Bos_taurus,Callithrix_jacchus,Camelus_dromedarius,Canis_lupus_familiaris,Capra_hircus,Cavia_porcellus,Ceratotherium_simum_simum,Cercocebus_atys,Chinchilla_lanigera,Chlorocebus_sabaeus,Chrysochloris_asiatica,Condylura_cristata,Cricetulus_griseus,Dasypus_novemcinctus,Dipodomys_ordii,Echinops_telfairi,Elephantulus_edwardii,Eptesicus_fuscus,Equus_caballus,Erinaceus_europaeus,Felis_catus,Galeopterus_variegatus,Gorilla_gorilla_gorilla,Heterocephalus_glaber,Ictidomys_tridecemlineatus,Jaculus_jaculus,Loxodonta_africana,Macaca_fascicularis,Macaca_nemestrina,Mandrillus_leucophaeus,Manis_javanica,Mesocricetus_auratus,Microcebus_murinus,Microtus_ochrogaster,Miniopterus_natalensis,Monodelphis_domestica,Mustela_putorius_furo,Nannospalax_galili,Nomascus_leucogenys,Ochotona_princeps,Octodon_degus,Odobenus_rosmarus_divergens,Orcinus_orca,Oryctolagus_cuniculus,Otolemur_garnettii,Ovis_aries,Pan_paniscus,Pan_troglodytes,Papio_anubis,Pongo_abelii,Propithecus_coquereli,Pteropus_vampyrus,Rhinopithecus_roxellana,Rousettus_aegyptiacus,Saimiri_boliviensis_boliviensis,Sorex_araneus,Sus_scrofa,Trichechus_manatus_latirostris,Tupaia_chinensis,Tursiops_truncatus
1,ACTN2,nm_001103.3,nm_001261802.2,nm_033268.4,nm_001170325.1,xm_002930756.1,xm_012438125.1,nm_001034635.1,xm_002760980.2,xm_010979770.1,xm_851023.4,xm_005674879.1,xm_005005241.2,xm_004437669.1,xm_012036235.1,xm_005404929.2,xm_007989887.1,xm_006872001.1,xm_012730854.1,xm_003516050.2,xm_004473136.2,xm_013021196.1,xm_013007130.1,xm_006895370.1,xm_008149787.1,nm_001163869.1,xm_007518641.1,xm_011289869.1,xm_008573414.1,xm_004028737.1,xm_004854605.1,xm_005320350.1,xm_004662191.2,xm_003410911.2,nm_001319350.1,xm_011729431.1,xm_011976379.1,,xm_005071828.2,xm_012774709.1,xm_005365418.1,,xm_001368616.2,xm_004774790.2,xm_008855075.1,xm_012506432.1,xm_004578515.2,xm_004640844.2,xm_004413821.2,xm_004271560.1,xm_002721641.1,xm_012813834.1,xm_012101048.1,xm_003829712.2,nm_001271071.1,xm_009194395.1,xm_009250363.1,xm_012656170.1,xm_011375914.1,xm_010384678.1,,xm_010345922.1,xm_004620369.1,nm_001243666.1,xm_004372793.2,xm_006162044.1,
1,ADCY8,nm_001115.2,nm_001205221.1,nm_009623.2,nm_017142.1,,xm_012461993.1,nm_001192841.1,,xm_010988790.1,xm_539166.5,,xm_003467348.3,xm_004431063.1,xm_012070079.1,xm_005398002.2,xm_008001549.1,xm_006830840.1,xm_004679589.1,xm_007634259.1,xm_012526721.1,xm_013025151.1,xm_004697391.1,xm_006879284.1,xm_008159467.1,xm_001917534.3,xm_007522730.1,,xm_008574415.1,,xm_004837939.1,xm_005316148.1,xm_004656171.2,xm_010588496.1,,xm_011760074.1,xm_011982077.1,,xm_005078687.2,xm_012756052.1,xm_005354547.1,,,xm_004743566.2,xm_008845490.1,xm_003256212.2,xm_004580732.1,xm_004634413.1,xm_004409835.1,xm_004265316.1,nm_001082628.1,xm_003782340.2,xm_012180920.1,xm_003830097.2,,xm_009211322.1,xm_009244100.1,xm_012647996.1,xm_011373832.1,xm_010380307.1,,xm_003933738.2,xm_004602452.1,xm_005662849.2,xm_004373008.1,xm_006154597.1,
1,AKR1B1,nm_020299.4,nm_001266629.1,nm_009658.3,nm_012498.1,,xm_012465765.1,nm_001012519.1,xm_008999428.1,xm_010983167.1,nm_001252416.1,nm_001314287.1,xm_003467875.3,xm_004430744.1,xm_012036855.1,xm_005377536.2,xm_007982975.1,xm_006861227.1,xm_004677059.2,nm_001246751.1,xm_004465769.2,xm_013021690.1,xm_004707824.1,xm_006887140.1,xm_008150513.1,xm_001916963.1,xm_007526550.1,nm_001278844.1,xm_008585409.1,,xm_004856310.2,xm_005331083.2,xm_004661197.1,xm_010600445.1,nm_001284080.1,xm_011723799.1,,,xm_005082387.2,,xm_005365803.1,,xm_001366836.2,xm_004741734.2,,xm_012512177.1,xm_004598187.2,xm_004626537.2,xm_004406368.2,xm_012533877.1,nm_001082287.1,xm_003791607.2,xm_004008077.2,xm_008966018.1,xm_524204.5,xm_003902751.2,xm_002818475.3,xm_012650617.1,xm_011359534.1,xm_010357733.1,,xm_003920979.2,xm_004608251.1,xm_013980358.1,xm_012557362.1,xm_006145088.1,
1,BDNF,nm_001143805.1,,nm_001048142.1,nm_001270637.1,,xm_012452245.1,nm_174829.3,xm_002755152.3,xm_011000276.1,xm_005633265.2,,xm_013147262.1,xm_004418543.1,xm_012031697.1,xm_005401753.2,xm_008003719.1,xm_006864853.1,xm_004682965.2,,xm_012523604.1,xm_013019593.1,xm_004708254.2,xm_006883716.1,xm_008148946.1,nm_001081787.1,,nm_001009828.1,xm_008584174.1,,xm_013074564.1,xm_005328053.2,xm_004660848.2,xm_010592173.1,,xm_011710309.1,xm_011964721.1,,xm_005064810.2,xm_012783113.1,xm_005364057.1,,xm_007497204.1,xm_004755891.2,xm_008851155.1,xm_012506194.1,xm_004585441.1,xm_004644116.2,xm_004408654.2,xm_004263942.2,,xm_012814113.1,xm_004016359.2,xm_008955891.1,nm_001012441.1,,xm_002821931.1,xm_012649566.1,xm_011362567.1,xm_010374529.1,,xm_003919938.2,xm_004607861.1,xm_005654685.2,xm_004369738.1,,
1,C4BPB,nm_000716.3,,nm_019396.3,nm_016995.2,,xm_012459276.1,nm_174253.3,,xm_010991322.1,xm_846518.4,,xm_003474659.2,,xm_012075014.1,xm_005375411.2,xm_007988639.1,xm_006834206.1,,,xm_012529631.1,xm_013017374.1,xm_004712341.1,xm_006888000.1,xm_008154268.1,,,,xm_008587663.1,,xm_013078594.1,xm_005329471.2,xm_004663454.1,xm_010590415.1,,xm_011746926.1,xm_011966949.1,,xm_013120362.1,xm_012760828.1,xm_005348308.2,,,xm_004756176.2,xm_008823347.1,xm_003282360.2,,,xm_004415535.1,xm_004282417.1,,xm_003792317.2,,,xm_009441371.1,,xm_002809525.3,xm_012638795.1,xm_011384999.1,xm_010365644.1,,xm_003930423.2,xm_004616225.1,xm_013979643.1,xm_004375340.2,,
1,CHN2,nm_001039936.2,nm_001261577.1,nm_001311133.1,nm_032084.1,xm_002916964.2,xm_012447770.1,xm_005205489.1,,xm_010988032.1,xm_014119075.1,,xm_003467830.3,,xm_012068065.1,xm_005377475.2,xm_007981751.1,xm_006832174.1,xm_004676813.2,xm_003507783.2,xm_004456592.2,xm_013024396.1,xm_004697836.1,xm_006896125.1,xm_008147663.1,,,nm_001193650.1,xm_008595005.1,,xm_004839493.2,xm_005319154.1,xm_004652770.2,xm_003407040.2,,xm_011731288.1,xm_011972235.1,,xm_005076808.2,,xm_013351372.1,,,xm_004762561.2,xm_008855297.1,xm_012496928.1,xm_012926125.1,xm_004626509.1,xm_012567205.1,xm_012531540.1,,xm_012804383.1,,xm_003807885.1,,,xm_002818095.3,xm_012640732.1,xm_011361709.1,xm_010371360.1,,xm_003935167.2,xm_004604049.2,xm_005673282.2,xm_004377495.1,,
1,CNR1,nm_001160226.1,nm_001032825.1,xm_006537595.2,nm_012784.4,,xm_012444294.1,nm_001242341.1,,xm_010987707.1,xm_005627619.2,,xm_005002619.2,,xm_012068541.1,xm_013510705.1,xm_008006566.1,xm_006870623.1,xm_004673680.2,xm_007637281.1,xm_004454506.1,xm_013032853.1,xm_004696253.2,xm_006902344.1,xm_008147750.1,nm_001257151.1,xm_007522595.1,nm_001009331.1,xm_008583958.1,,xm_004860223.2,xm_005324720.1,xm_004667304.1,xm_010586310.1,,xm_011753714.1,xm_011985819.1,,xm_013121073.1,xm_012750966.1,xm_013351866.1,,xm_001362407.2,xm_004766925.2,xm_008831843.1,xm_004087619.1,xm_004580395.2,xm_004628223.1,xm_004417496.2,xm_012539537.1,,xm_003797512.2,xm_004011281.2,xm_008976475.1,nm_001013017.1,,xm_009242077.1,xm_012638196.1,xm_011367372.1,xm_010362192.1,,xm_010333801.1,xm_004605658.1,xm_005659288.2,xm_004388990.2,,
1,CREB1,xm_011510645.1,nm_001261120.1,nm_133828.2,nm_134443.1,,xm_012446050.1,nm_174285.1,xm_008982009.1,xm_010985445.1,xm_014110992.1,nm_001285604.1,xm_003474185.3,,xm_012047707.1,xm_013520692.1,xm_007966026.1,xm_006861939.1,xm_004674347.2,xm_007620782.1,xm_012524988.1,xm_013009486.1,xm_004701567.1,xm_006889125.1,xm_008145231.1,,,,xm_008568009.1,,xm_013074510.1,xm_005335117.1,xm_004653543.1,xm_003406105.2,,xm_011717887.1,xm_011993896.1,,nm_001281571.1,xm_012752082.1,xm_005361476.2,,xm_007504729.1,xm_004764258.2,,xm_003253995.3,xm_004576891.2,xm_004626631.1,xm_004405403.1,xm_004262797.1,,xm_003784996.1,xm_012174290.1,xm_003820808.2,,,xm_009238028.1,xm_012661240.1,xm_011369660.1,xm_010386069.1,,xm_010336396.1,xm_004601311.1,nm_001099929.1,xm_004378275.1,,
1,CTNND2,nm_001288715.1,nm_001266450.1,xm_006520033.2,nm_001271502.1,,xm_012475241.1,nm_001191491.1,xm_008992241.1,xm_010981989.1,xm_545171.6,,xm_013149264.1,,xm_012060476.1,xm_013515022.1,xm_007961220.1,xm_006876162.1,xm_012721744.1,xm_007609159.1,xm_012525794.1,xm_013013886.1,xm_013008540.1,xm_006893173.1,xm_008151677.1,,xm_007524294.1,,xm_008568289.1,,xm_013072373.1,xm_013362976.1,xm_012947489.1,xm_010588073.1,xm_005577833.1,xm_011754344.1,xm_011996163.1,,xm_013123603.1,xm_012790282.1,xm_005356666.2,,xm_007494201.1,xm_013060763.1,xm_008831019.1,xm_012501685.1,xm_004583620.2,xm_012517844.1,xm_012562778.1,xm_004274485.2,,xm_012805013.1,xm_004004678.2,xm_008958126.1,xm_009443537.1,xm_003909830.2,xm_009240589.1,xm_012650019.1,xm_011364122.1,xm_010356592.1,,xm_010343050.1,xm_012932062.1,xm_013984689.1,xm_004380288.2,xm_006168894.1,
1,DRD2,nm_000795.3,nm_001289897.1,nm_010077.2,nm_012547.1,,xm_012470637.1,nm_174043.2,xm_002754421.3,xm_010983293.1,xm_005619479.2,,xm_003472821.3,xm_004427316.1,xm_012074031.1,xm_005378146.2,xm_008020912.1,xm_006833833.1,xm_012729932.1,xm_007620893.1,xm_004481174.1,xm_013009616.1,xm_004712816.1,xm_006890788.1,xm_008150180.1,xm_001917412.3,xm_007521948.1,nm_001039955.1,xm_008591437.1,,xm_004856608.1,xm_005334208.1,xm_004666464.1,xm_003418229.2,xm_005579675.1,xm_011761337.1,xm_012002661.1,,xm_005069495.2,xm_012787562.1,xm_013346111.1,,xm_007494791.1,xm_004749849.2,xm_008842862.1,xm_003253162.3,xm_004585078.1,xm_004646374.2,xm_004416368.2,xm_004273390.1,xm_008261225.1,xm_012808149.1,nm_001078656.1,xm_008971728.1,nm_001033928.1,xm_003910718.2,xm_009247074.1,xm_012659160.1,xm_011365426.1,xm_010382376.1,,xm_003923693.2,xm_004604701.1,nm_001244253.1,xm_004382515.1,xm_006151031.1,
