Tier,Gene,Homo_sapiens,Macaca_mulatta,Mus_musculus,Rattus_norvegicus,Ailuropoda_melanoleuca,Aotus_nancymaae,Bos_taurus,Callithrix_jacchus,Camelus_dromedarius,Canis_lupus_familiaris,Capra_hircus,Cavia_porcellus,Ceratotherium_simum_simum,Cercocebus_atys,Chinchilla_lanigera,Chlorocebus_sabaeus,Chrysochloris_asiatica,Condylura_cristata,Cricetulus_griseus,Dasypus_novemcinctus,Dipodomys_ordii,Echinops_telfairi,Elephantulus_edwardii,Eptesicus_fuscus,Equus_caballus,Erinaceus_europaeus,Felis_catus,Galeopterus_variegatus,Gorilla_gorilla_gorilla,Heterocephalus_glaber,Ictidomys_tridecemlineatus,Jaculus_jaculus,Loxodonta_africana,Macaca_fascicularis,Macaca_nemestrina,Mandrillus_leucophaeus,Manis_javanica,Mesocricetus_auratus,Microcebus_murinus,Microtus_ochrogaster,Miniopterus_natalensis,Monodelphis_domestica,Mustela_putorius_furo,Nannospalax_galili,Nomascus_leucogenys,Ochotona_princeps,Octodon_degus,Odobenus_rosmarus_divergens,Orcinus_orca,Oryctolagus_cuniculus,Otolemur_garnettii,Ovis_aries,Pan_paniscus,Pan_troglodytes,Papio_anubis,Pongo_abelii,Propithecus_coquereli,Pteropus_vampyrus,Rhinopithecus_roxellana,Rousettus_aegyptiacus,Saimiri_boliviensis_boliviensis,Sorex_araneus,Sus_scrofa,Trichechus_manatus_latirostris,Tupaia_chinensis,Tursiops_truncatus
1,ADRA1A,NM_000680,xm_015145001.1,xm_011244924.2,xm_008770744.2,xm_019794336.1,xm_012435157.1,nm_174498.2,xm_008979083.2,xm_010995622.1,xm_005635607.2,xm_018052356.1,nm_001172912.1,xm_004433557.2,xm_012045680.1,xm_013514140.1,xm_007961979.1,xm_006864364.1,xm_004685374.1,xm_003505161.1,xm_004460818.2,xm_013034427.1,xm_004707617.1,xm_006884857.1,xm_008151449.1,xm_001494586.5,xm_007535036.2,xm_011281429.2,xm_008565544.1,xm_019032677.1,xm_004848377.1,xm_005339882.2,xm_004665835.1,xm_003412463.2,xm_015454603.1,xm_011741880.1,xm_011983857.1,xm_017654415.1,xm_005075238.2,xm_012775351.2,xm_005355482.2,xm_016203462.1,xm_007477809.1,xm_004775085.2,xm_008830974.2,xm_012508355.1,xm_004579078.1,xm_004630683.1,xm_004412992.1,xm_004270686.1,nm_001082380.1,xm_003793950.2,xm_004004166.2,xm_008977197.2,xm_009455065.2,xm_003902573.3,xm_009243644.1,xm_012663027.1,xm_011360301.1,xm_010378131.1,xm_016154297.1,xm_010347764.1,xm_004619135.1,xm_005657244.2,xm_004382172.1,xm_006153237.2,xm_004316653.2
1,ADRA1B,NM_000679,xm_001083528.3,xm_011248675.2,nm_016991.2,xm_019794960.1,xm_012461054.1,nm_001191139.1,xm_017967235.1,xm_010992810.1,nm_001197035.2,xm_013965499.2,xm_013156240.1,xm_004428576.2,xm_012050872.1,xm_013506606.1,xm_008015187.1,xm_006864921.1,xm_004689823.1,xm_007615394.1,xm_004467224.2,xm_013028631.1,xm_013004900.1,xm_006897035.1,xm_008147660.1,xm_005614854.2,xm_007528645.2,xm_019839598.1,xm_008587200.1,xm_004042922.2,xm_004836469.1,xm_005325428.2,xm_012948522.1,xm_003404870.2,xm_005558419.2,xm_011742371.1,xm_011966719.1,xm_017671063.1,nm_001281694.1,xm_012786357.1,xm_013354120.1,xm_016213983.1,xm_016428326.1,xm_004737708.2,xm_008821659.2,xm_012504556.1,xm_004587478.2,xm_004629399.1,xm_004404781.1,xm_004285246.1,xm_017340976.1,xm_003781991.2,xm_015096166.1,xm_014345136.1,xm_016954141.1,xm_003900455.3,xm_009241239.1,xm_012644801.1,xm_011356722.1,xm_010369932.1,xm_016167056.1,xm_010345373.1,xm_012933417.1,xm_013984885.1,xm_004371247.1,xm_006165110.2,xm_019945217.1
1,ADRA1D,NM_000678,xm_002798210.2,nm_013460.4,nm_024483.1,xm_011231830.2,xm_012455391.1,nm_001205684.1,xm_002747323.3,xm_010988293.1,xm_003433195.3,xm_005688233.3,xm_013159601.1,xm_004433871.2,xm_012052161.1,xm_013512129.1,xm_008019764.1,xm_006870414.1,xm_004687010.1,xm_007637304.1,xm_004465244.1,xm_013010817.1,xm_004698168.1,xm_006894221.1,xm_008141276.1,xm_005614858.1,xm_007539555.2,xm_019828062.1,xm_008589494.1,xm_019016724.1,xm_004840767.2,xm_005320615.2,xm_004661489.1,xm_010591812.1,xm_005568416.2,xm_011741225.1,xm_011975512.1,xm_017663881.1,xm_005068659.2,xm_012755247.2,xm_005365569.2,xm_016211939.1,xm_001380223.3,xm_004772937.2,xm_008835892.1,xm_012504170.1,xm_004593320.1,xm_004634273.1,xm_004398199.1,xm_004285282.1,nm_001082678.1,xm_003788037.2,xm_004014355.2,xm_008974833.1,xm_016937394.1,xm_003905031.3,xm_002830063.3,xm_012639288.1,xm_011371074.1,xm_010378947.1,xm_016135998.1,xm_010351844.1,xm_004610987.1,nm_001123073.1,xm_004383076.2,xm_014582287.1,xm_019950821.1
1,ADRA2A,NM_000681,xm_015148184.1,nm_007417.4,nm_012739.3,xm_011232098.2,xm_012450210.1,xm_015460731.1,xm_009010277.2,xm_010983258.1,xm_005637878.1,xm_018041717.1,nm_001172846.1,xm_004428080.2,xm_012042893.1,xm_013504020.1,xm_007964092.1,xm_006831339.1,xm_004680997.2,xm_007638228.2,xm_012530906.1,xm_013017604.1,xm_004701283.1,xm_006879938.1,xm_008144412.1,xm_014732996.1,xm_007530911.2,nm_001039955.1,xm_008569195.1,xm_019034341.1,xm_004838943.1,xm_013356507.1,xm_004659344.1,xm_010588992.1,xm_005566421.2,xm_011715799.1,xm_011967569.1,xm_017671591.1,xm_013118016.1,xm_012771361.2,xm_013348113.1,xm_016212099.1,xm_007479023.1,xm_013062065.1,xm_008846137.2,xm_004092893.2,xm_004579847.1,xm_004631531.2,xm_004411589.2,xm_004265845.1,nm_001082693.1,xm_003787168.2,xm_015103417.1,xm_003825702.2,xm_003312765.3,xm_003919460.3,xm_002821145.3,xm_012663886.1,xm_011363810.1,xm_010370334.1,xm_016145729.1,xm_010333357.1,xm_004611971.1,nm_214400.1,xm_004374847.1,xm_014589942.1,xm_019939991.1
1,ADRA2B,NM_000682,xm_015112856.1,nm_009633.3,nm_138505.2,xm_011233892.2,xm_012444793.1,nm_001206628.1,xm_003734674.3,xm_010984623.1,xm_005642442.2,xm_013967412.2,xm_003471528.2,xm_014791631.1,xm_012055761.1,xm_005400652.2,xm_008007961.1,xm_006873521.1,xm_004686125.2,xm_007618099.2,xm_004474616.2,xm_013019863.1,xm_004704472.1,xm_006900689.1,xm_008160582.1,nm_001164012.1,xm_016191204.1,xm_006930331.2,xm_008589605.1,xm_019020629.1,xm_004844350.1,xm_005339575.2,xm_004651744.2,xm_003422015.1,xm_005595601.2,xm_011755244.1,xm_011969655.1,xm_017659781.1,xm_005068583.2,xm_012786889.2,xm_005364434.1,xm_016209647.1,xm_007476536.2,xm_004770934.2,xm_008838185.1,xm_012502576.1,xm_004590759.1,xm_004633157.2,xm_004399838.2,xm_004277792.1,xm_008253857.2,xm_003803960.2,xm_012173853.2,xm_003805724.2,xm_016948969.1,xm_009184649.1,xm_002811646.3,xm_012641907.1,xm_011382010.1,xm_010362070.1,xm_016142920.1,xm_010352015.1,xm_004609236.1,nm_001037148.1,xm_004369348.1,xm_006166549.1,xm_004321272.2
1,ADRA2C,NM_000683,xm_015137909.1,nm_007418.3,nm_138506.1,xm_019796748.1,xm_012435075.1,xm_010806318.2,xm_017970670.1,xm_010996916.1,xm_545911.4,xm_013964836.2,xm_005008451.2,xm_004432337.2,xm_012059358.1,xm_013504020.1,xm_008018030.1,xm_006875324.1,xm_012724059.1,xm_007625847.1,xm_004450951.1,xm_013023886.1,xm_004701283.1,xm_006879938.1,xm_008150958.1,xm_014732996.1,xm_007536792.1,xm_011281994.2,xm_008572498.1,xm_004038360.2,xm_004847357.1,xm_013356507.1,xm_004659344.1,xm_010591450.1,xm_015449990.1,xm_011744936.1,xm_012002194.1,xm_017660934.1,xm_005068857.2,xm_012744798.2,xm_005365920.2,xm_016195872.1,xm_001373089.4,xm_013062065.1,xm_008841877.1,xm_003279005.2,xm_004579847.1,xm_004624679.1,xm_004396193.2,xm_004265160.2,nm_001082693.1,xm_012810965.1,xm_015096306.1,xm_008959182.1,xm_009447287.2,xm_003890859.3,xm_003780406.2,xm_012655036.1,xm_011373809.1,xm_010384409.1,xm_016124238.1,xm_003934639.1,xm_004611971.1,xm_005666516.2,xm_004383556.1,xm_006152962.1,xm_004321272.2
1,CHRM1,NM_000738,xm_015113701.1,nm_007698.3,xm_006230974.3,xm_011232513.2,xm_012454458.1,nm_001244609.1,xm_002755444.2,xm_010983031.1,xm_540897.4,xm_018043586.1,xm_013150513.1,xm_004437505.2,xm_012042012.1,xm_013510063.1,xm_007995063.1,xm_006875030.1,xm_004682699.2,xm_007654364.2,xm_004449256.2,xm_013029124.1,xm_013007431.1,xm_006903105.1,xm_008160723.1,xm_005598256.2,xm_007526363.2,xm_019812563.1,xm_008573511.1,xm_004051387.2,xm_004874417.2,xm_005331468.1,xm_004656571.1,xm_010599102.1,xm_005577525.2,xm_011720509.1,xm_011993414.1,xm_017660236.1,xm_005063879.2,xm_012778185.1,xm_005351892.2,xm_016216351.1,xm_016423592.1,xm_004770253.2,xm_008837488.2,xm_003274112.3,xm_004596754.1,xm_004646702.1,xm_004413790.1,xm_004264240.1,xm_002720993.3,xm_003798702.2,xm_012102058.2,xm_003828513.3,xm_001159983.5,xm_003909668.3,nm_001132522.1,xm_012665409.1,xm_011368681.1,xm_010376533.1,xm_016127936.1,xm_003920483.2,xm_004621522.1,nm_214034.1,xm_004383824.1,xm_006156552.2,xm_019935114.1
1,CHRM2,NM_000739,xm_015134983.1,xm_006506136.2,nm_031016.1,xm_002914202.3,xm_012465715.1,xm_005205852.3,xm_009003001.2,xm_010983163.1,xm_005629578.2,xm_005679508.3,xm_013159001.1,xm_014787721.1,xm_012068236.1,xm_005405469.2,xm_007983041.1,xm_006861160.1,xm_012721055.1,xm_003500969.1,xm_004461665.2,xm_013021655.1,xm_004707831.1,xm_006887150.1,xm_008150496.1,xm_005615016.2,xm_007531504.2,xm_019825871.1,xm_008590741.1,xm_019030316.1,xm_004851236.1,xm_005332409.2,xm_004661184.1,xm_003420223.1,xm_005550872.2,xm_011723764.1,xm_011995490.1,xm_017651343.1,xm_005082403.2,xm_012744732.2,xm_005365826.2,xm_016222420.1,xm_007504385.1,xm_013050083.1,xm_008823472.2,xm_012512137.1,xm_004594382.1,xm_004629053.1,xm_004406353.1,xm_004272164.1,xm_008258041.2,xm_003791593.2,xm_015095399.1,xm_014345796.1,xm_001147469.4,xm_017957191.1,xm_009243263.1,xm_012642765.1,xm_011359505.1,xm_010371749.1,xm_016122881.1,xm_010340360.1,xm_004608236.1,nm_214261.1,xm_004382399.1,xm_006145018.1,xm_019930885.1
1,CHRM3,NM_000740,xm_015126492.1,xm_006516468.3,nm_012527.2,xm_019794306.1,xm_012443749.1,nm_174270.2,xm_017966718.1,xm_010979933.1,xm_005618771.2,xm_018042600.1,xm_005005219.2,xm_004432404.2,xm_012036251.1,xm_013504734.1,xm_007989919.1,xm_006868560.1,xm_004691027.2,xm_003509406.3,xm_012530868.1,xm_013009284.1,xm_004709822.1,xm_006901557.1,xm_008149880.1,xm_005602607.2,xm_007528793.2,xm_019814130.1,xm_008567992.1,xm_019032108.1,xm_004854597.2,xm_005320345.1,xm_004662194.1,xm_003410912.2,xm_015436352.1,xm_011729448.1,xm_011995028.1,xm_017656921.1,xm_013114701.1,xm_012738305.2,xm_005365415.2,xm_016219795.1,xm_007481572.2,xm_004774782.2,xm_008841328.2,xm_004088016.2,xm_004578512.2,xm_004641283.1,xm_004413000.2,xm_012538253.1,xm_017347714.1,xm_003800083.2,xm_015104361.1,xm_014343347.1,xm_009441687.2,xm_017953451.1,nm_001132433.1,xm_012660182.1,xm_011387225.1,xm_010384685.1,xm_016129574.1,xm_010345878.1,xm_004619364.1,nm_001123098.1,xm_004375848.2,xm_006145949.2,xm_019935945.1
1,CHRM4,NM_000741,nm_001194555.2,xm_011239271.2,xm_008762022.2,xm_011227929.2,xm_012452477.1,nm_001103243.1,xm_002755158.4,xm_011000636.1,xm_005631293.2,xm_005690149.3,xm_005001576.2,xm_004436912.2,xm_012075210.1,xm_005384029.2,xm_008000215.1,xm_006865056.1,xm_004682865.2,xm_007630880.2,xm_004457906.1,xm_013029994.1,xm_004708332.1,xm_006896728.1,xm_008146765.1,xm_005615012.2,xm_007519081.2,xm_019812347.1,xm_008570489.1,xm_004051014.2,xm_004851921.2,xm_005330008.2,xm_004657204.2,xm_003412258.2,xm_005578050.2,xm_011724265.1,xm_012001380.1,xm_017675728.1,xm_005064914.2,xm_012790014.2,xm_005364155.2,xm_016203976.1,xm_007497382.2,xm_004763139.2,xm_008851576.2,xm_012512139.1,xm_004585361.1,xm_004626991.1,xm_004399558.2,xm_004264058.2,nm_001198936.1,xm_003781275.2,xm_015101145.1,xm_003815213.2,xm_016920771.1,xm_003909970.2,xm_002821824.2,xm_012645187.1,xm_011356914.1,xm_010371065.1,xm_016146754.1,xm_003920036.2,xm_004619062.2,xm_003122828.4,xm_004387664.2,xm_006157777.2,xm_019930885.1
